x1,x2,y
-8.2,-8.2,152.22388944593092
-8.117587939698492,-8.2,150.7550051376331
-8.035175879396984,-8.2,150.43500682424252
-7.952763819095477,-8.2,146.10184976197542
-7.870351758793969,-8.2,142.7982643477197
-7.787939698492462,-8.2,147.78361881424044
-7.705527638190954,-8.2,146.02714024043843
-7.623115577889447,-8.2,149.19390021770445
-7.540703517587939,-8.2,147.42724294308852
-7.458291457286432,-8.2,147.9073879613523
-7.375879396984924,-8.2,145.53775019455267
-7.293467336683417,-8.2,141.28845764680358
-7.211055276381909,-8.2,133.5083459153063
-7.128643216080402,-8.2,130.21196212321712
-7.0462311557788935,-8.2,132.68066989490924
-6.963819095477386,-8.2,129.48500947160008
-6.8814070351758785,-8.2,131.33853830978785
-6.798994974874371,-8.2,130.05320949457652
-6.7165829145728635,-8.2,130.87449083139063
-6.634170854271356,-8.2,141.6220034578726
-6.5517587939698485,-8.2,133.97071060881876
-6.469346733668341,-8.2,134.78871143730308
-6.3869346733668335,-8.2,132.07752912558084
-6.304522613065326,-8.2,128.69263407618112
-6.2221105527638185,-8.2,122.23654512151772
-6.139698492462311,-8.2,121.06554356166316
-6.0572864321608035,-8.2,116.75703775173064
-5.974874371859295,-8.2,114.70727242662672
-5.892462311557788,-8.2,120.34316827549361
-5.81005025125628,-8.2,118.97406660603707
-5.727638190954773,-8.2,115.70510732465284
-5.645226130653265,-8.2,124.01059167066816
-5.562814070351758,-8.2,124.614190026377
-5.48040201005025,-8.2,125.31877397574367
-5.397989949748743,-8.2,117.700787991347
-5.315577889447235,-8.2,111.7744311121626
-5.233165829145728,-8.2,116.5469865363423
-5.15075376884422,-8.2,104.62055767143372
-5.068341708542713,-8.2,107.16971558412584
-4.985929648241205,-8.2,110.9129716052432
-4.903517587939698,-8.2,104.30061824611352
-4.82110552763819,-8.2,105.07598348119213
-4.738693467336683,-8.2,104.68887178095362
-4.656281407035175,-8.2,109.53530487974312
-4.573869346733668,-8.2,112.02508239085611
-4.49145728643216,-8.2,113.9711491237754
-4.409045226130653,-8.2,109.45359791308981
-4.326633165829145,-8.2,110.99227896902232
-4.244221105527638,-8.2,105.50221000327545
-4.16180904522613,-8.2,103.83236498063538
-4.079396984924623,-8.2,99.20098598392676
-3.9969849246231153,-8.2,98.39316451694486
-3.914572864321608,-8.2,97.13296247650385
-3.8321608040201003,-8.2,96.50173726445438
-3.749748743718592,-8.2,102.75535216793686
-3.6673366834170844,-8.2,105.63367236156373
-3.584924623115577,-8.2,107.02814140651617
-3.5025125628140694,-8.2,102.46856851028899
-3.420100502512562,-8.2,100.40396508655819
-3.3376884422110544,-8.2,99.81963061332003
-3.255276381909547,-8.2,89.84941623102463
-3.1728643216080394,-8.2,92.20082515576784
-3.090452261306532,-8.2,88.75681090812904
-3.0080402010050244,-8.2,85.02405945543967
-2.925628140703517,-8.2,88.62006571580211
-2.8432160804020095,-8.2,92.21551879239385
-2.760804020100502,-8.2,94.76930035476306
-2.6783919597989945,-8.2,94.63360848259522
-2.595979899497487,-8.2,97.64928900240494
-2.5135678391959795,-8.2,94.19093986768397
-2.431155778894472,-8.2,101.61938885875472
-2.3487437185929645,-8.2,94.31366012148013
-2.266331658291457,-8.2,91.81947100986955
